exploration_value,score
0.20,34
0.20,37
0.20,38
0.20,43
0.20,42
0.20,39
0.20,44
0.20,29
0.20,34
0.20,32
0.20,41
0.20,42
0.20,36
0.20,40
0.20,45
0.20,42
0.20,47
0.20,39
0.20,38
0.20,44
0.20,36
0.20,37
0.20,33
0.20,40
0.20,37
0.20,40
0.20,35
0.20,45
0.20,51
0.20,52
0.20,34
0.20,43
0.20,38
0.20,40
0.20,47
0.20,33
0.20,34
0.20,42
0.20,35
0.20,44
0.20,39
0.20,31
0.20,41
0.20,36
0.20,46
0.20,41
0.20,41
0.20,40
0.20,36
0.20,40
0.20,38
0.20,41
0.20,30
0.20,33
0.20,40
0.20,34
0.20,39
0.20,38
0.20,39
0.20,36
0.20,38
0.20,38
0.20,32
0.20,38
0.20,42
0.20,42
0.20,30
0.20,36
0.20,34
0.20,41
0.20,38
0.20,42
0.20,42
0.20,42
0.20,32
0.20,38
0.20,44
0.20,37
0.20,36
0.20,42
0.20,40
0.20,35
0.20,39
0.20,35
0.20,48
0.20,41
0.20,37
0.20,49
0.20,36
0.20,40
0.20,45
0.20,40
0.20,40
0.20,31
0.20,32
0.20,36
0.20,36
0.20,42
0.20,39
0.20,39
0.40,40
0.40,32
0.40,34
0.40,34
0.40,42
0.40,34
0.40,42
0.40,44
0.40,41
0.40,35
0.40,36
0.40,35
0.40,39
0.40,45
0.40,34
0.40,33
0.40,38
0.40,47
0.40,48
0.40,32
0.40,36
0.40,44
0.40,38
0.40,44
0.40,29
0.40,40
0.40,39
0.40,38
0.40,42
0.40,35
0.40,40
0.40,47
0.40,40
0.40,44
0.40,42
0.40,37
0.40,43
0.40,41
0.40,38
0.40,40
0.40,38
0.40,37
0.40,41
0.40,41
0.40,38
0.40,41
0.40,40
0.40,39
0.40,37
0.40,33
0.40,37
0.40,42
0.40,31
0.40,39
0.40,38
0.40,46
0.40,43
0.40,49
0.40,49
0.40,38
0.40,28
0.40,36
0.40,47
0.40,31
0.40,41
0.40,31
0.40,36
0.40,39
0.40,45
0.40,40
0.40,37
