iterations,score
1,-2
1,-3
1,13
1,1
1,12
1,15
1,4
1,2
1,11
1,9
10,6
10,4
10,10
10,2
10,8
10,0
10,1
10,12
10,21
10,16
100,44
100,37
100,31
100,39
100,41
100,36
100,37
100,28
100,21
100,30
1000,46
1000,55
1000,54
1000,56
1000,51
1000,49
1000,51
1000,52
1000,46
1000,44
10000,51
10000,47
10000,42
10000,47
10000,55
10000,51
10000,56
10000,59
10000,46
10000,43
1,15
1,6
1,-1
1,7
1,8
1,9
1,8
1,7
1,-5
1,-2
10,2
10,16
10,12
10,-1
10,13
10,0
10,-2
10,5
10,2
10,18
100,34
100,41
100,28
100,38
100,31
100,29
100,22
100,39
100,35
100,37
1000,52
1000,46
1000,53
1000,49
1000,47
1000,51
1000,39
1000,38
1000,45
1000,51
10000,49
10000,49
10000,50
10000,44
10000,50
10000,45
10000,50
10000,48
10000,48
10000,45
1,-1
1,-1
1,16
1,4
1,16
1,9
1,14
1,11
1,11
1,9
10,-4
10,14
10,12
10,2
10,9
10,16
10,-1
10,-4
10,17
10,2
100,43
100,29
100,36
100,40
100,39
100,45
100,38
100,38
100,40
100,33
1000,53
1000,51
1000,45
1000,50
1000,52
1000,49
1000,49
1000,44
1000,51
1000,52
10000,48
10000,57
10000,48
10000,49
10000,49
10000,56
10000,45
10000,52
10000,50
10000,51
1,12
1,2
1,18
1,9
1,25
1,4
1,12
1,9
1,0
1,15
10,-1
10,-1
10,0
10,11
10,1
10,-5
10,11
10,13
10,15
10,4
100,43
100,35
100,33
100,34
100,39
100,38
100,40
100,48
100,41
100,40
1000,40
1000,51
1000,44
1000,49
1000,50
1000,49
1000,51
1000,52
1000,47
1000,50
10000,52
10000,51
10000,46
10000,50
10000,54
10000,47
10000,44
10000,49
10000,53
10000,46
1,-16
1,2
1,8
1,7
1,9
1,15
1,3
1,1
1,12
1,5
10,14
10,24
10,13
10,5
10,4
10,1
10,22
10,6
10,9
10,1
100,38
100,37
100,40
100,36
100,40
100,51
100,34
100,25
100,32
100,41
1000,48
1000,45
1000,48
1000,45
1000,54
1000,47
1000,47
1000,48
1000,47
1000,45
10000,43
10000,50
10000,48
10000,48
10000,51
10000,47
10000,50
10000,51
10000,48
10000,55
1,5
1,-3
1,8
1,8
1,-2
1,-6
1,6
1,6
1,18
1,11
10,6
10,3
10,8
10,5
10,0
10,2
10,16
10,9
10,-2
10,-2
100,38
100,24
100,35
100,45
100,42
100,37
100,44
100,46
100,33
100,39
1000,43
1000,43
1000,45
1000,35
1000,51
1000,50
1000,53
1000,43
1000,43
1000,45
10000,51
10000,49
10000,47
10000,51
10000,53
10000,43
10000,53
10000,50
10000,42
10000,51
1,13
1,-3
1,11
1,0
1,5
1,6
1,13
1,4
1,23
1,5
10,16
10,6
10,14
10,5
10,8
10,-5
10,19
10,0
10,12
10,4
100,22
100,37
100,32
100,41
100,33
100,43
100,38
100,19
100,39
100,34
1000,56
1000,41
1000,46
1000,47
1000,39
1000,43
1000,48
1000,42
1000,48
1000,44
10000,53
10000,48
10000,48
10000,48
10000,51
10000,52
10000,44
10000,43
10000,49
10000,50
1,13
1,26
1,4
1,11
1,11
1,6
1,3
1,2
1,10
1,8
10,-3
10,-6
10,8
10,2
10,3
10,1
10,10
10,-1
10,15
10,6
100,34
100,36
100,33
100,41
100,35
100,35
100,34
100,45
100,32
100,36
1000,50
1000,44
1000,49
1000,49
1000,49
1000,51
1000,52
1000,53
1000,44
1000,52
10000,45
