iterations,exploration,score
100,0.001,45
100,0.001,31
100,0.001,37
100,0.001,28
100,0.001,38
100,0.001,32
100,0.001,45
100,0.001,37
100,0.001,38
100,0.001,36
100,0.01,38
100,0.01,35
100,0.01,47
100,0.01,41
100,0.01,37
100,0.01,37
100,0.01,39
100,0.01,39
100,0.01,38
100,0.01,33
100,0.01,41
100,0.01,32
100,0.01,30
100,0.01,36
100,0.01,38
100,0.01,35
100,0.01,17
100,0.01,26
100,0.01,30
100,0.01,38
100,0.15,37
100,0.15,40
100,0.15,41
100,0.15,37
100,0.15,37
100,0.15,32
100,0.15,31
100,0.15,26
100,0.15,45
100,0.15,37
100,0.2,33
100,0.2,44
100,0.2,39
100,0.2,31
100,0.2,32
100,0.2,42
100,0.2,34
100,0.2,44
100,0.2,34
100,0.2,35
100,0.25,46
100,0.25,42
100,0.25,41
100,0.25,39
100,0.25,31
100,0.25,38
100,0.25,30
100,0.25,40
100,0.25,35
100,0.25,40
100,0.35,35
100,0.35,35
100,0.35,38
100,0.35,37
100,0.35,36
100,0.35,41
100,0.35,34
100,0.35,34
100,0.35,31
100,0.35,35
100,0.433,38
100,0.433,36
100,0.433,39
100,0.433,35
100,0.433,28
100,0.433,40
100,0.433,38
100,0.433,32
100,0.433,30
100,0.433,40
100,0.5,44
100,0.5,34
100,0.5,29
100,0.5,31
100,0.5,34
100,0.5,29
100,0.5,37
100,0.5,24
100,0.5,43
100,0.5,39
100,1,37
100,1,33
100,1,39
100,1,37
100,1,37
100,1,37
100,1,46
100,1,43
100,1,35
100,1,40
100,1.5,45
100,1.5,41
100,1.5,33
100,1.5,36
100,1.5,42
100,1.5,28
100,1.5,39
100,1.5,35
100,1.5,34
100,1.5,38
100,1.75,34
100,1.75,36
100,1.75,47
100,1.75,31
100,1.75,36
100,1.75,35
100,1.75,37
100,1.75,40
100,1.75,34
100,1.75,35
100,2,29
100,2,33
100,2,36
100,2,37
100,2,30
100,2,38
100,2,25
100,2,36
100,2,43
100,2,33
100,2.25,34
100,2.25,25
100,2.25,35
100,2.25,33
