iterations,score
1,-1
1,14
1,13
1,5
1,0
1,-2
1,2
1,8
1,-7
1,1
10,1
10,6
10,3
10,16
10,22
10,3
10,19
10,0
10,12
10,1
100,25
100,31
100,32
100,32
100,30
100,39
100,30
100,40
100,31
100,33
1000,39
1000,41
1000,47
1000,42
1000,47
1000,42
1000,51
1000,45
1000,40
1000,41
10000,42
10000,50
10000,39
10000,53
10000,44
10000,39
10000,43
10000,49
10000,39
10000,45
1,7
1,6
1,19
1,2
1,1
1,22
1,-2
1,17
1,18
1,8
10,4
10,10
10,6
10,13
10,6
10,6
10,3
10,7
10,0
10,7
100,43
100,28
100,29
100,29
100,25
100,30
100,27
100,35
100,38
100,33
1000,35
1000,39
1000,42
1000,43
1000,46
1000,50
1000,45
1000,41
1000,45
1000,53
10000,44
10000,40
10000,44
10000,49
10000,45
10000,42
10000,49
10000,46
10000,52
10000,54
1,4
1,25
1,3
1,-3
1,3
1,-3
1,6
1,8
1,2
1,14
10,7
10,0
10,1
10,5
10,9
10,3
10,1
10,7
10,12
10,6
100,31
100,25
100,39
100,23
100,29
100,28
100,35
100,27
100,29
100,28
1000,48
1000,41
1000,46
1000,46
1000,37
1000,42
1000,47
1000,49
1000,34
1000,44
10000,49
10000,50
10000,46
10000,46
10000,50
10000,45
10000,46
10000,38
10000,46
10000,47
1,7
1,12
1,7
1,8
1,9
1,19
1,16
1,5
1,0
1,5
10,0
10,4
10,12
10,6
10,2
10,3
10,19
10,12
10,13
10,11
100,29
100,33
100,38
100,34
100,32
100,28
100,30
100,30
100,28
100,27
1000,49
1000,51
1000,37
1000,51
1000,38
1000,52
1000,47
1000,44
1000,36
1000,42
10000,37
10000,41
10000,49
10000,50
10000,49
10000,43
10000,36
10000,42
10000,39
10000,46
1,12
1,17
1,-2
1,2
1,9
1,21
1,4
1,5
1,7
1,9
10,6
10,12
10,10
10,4
10,3
10,-8
10,12
10,9
10,8
10,18
100,35
100,33
100,24
100,31
100,35
100,25
100,26
100,35
100,25
100,32
1000,44
1000,33
1000,37
1000,35
1000,42
1000,44
1000,41
1000,38
1000,45
1000,42
10000,50
10000,43
10000,48
10000,52
10000,45
10000,46
10000,47
10000,52
10000,50
10000,44
1,2
1,19
1,19
1,16
1,7
1,12
1,20
1,12
1,18
1,10
10,15
10,5
10,4
10,7
10,6
10,11
10,2
10,2
10,8
10,11
100,37
100,33
100,33
100,32
100,24
100,32
100,23
100,28
100,26
100,23
1000,38
1000,35
1000,48
1000,41
1000,41
1000,35
1000,49
1000,44
1000,40
1000,38
10000,43
10000,46
10000,48
10000,47
10000,41
10000,43
10000,53
10000,37
10000,48
10000,42
1,4
1,12
1,9
1,5
1,13
1,7
1,1
1,11
1,3
1,23
10,9
10,24
10,1
10,2
10,10
10,2
10,4
10,5
10,4
10,6
100,29
100,20
100,32
100,24
100,30
100,45
100,32
100,31
100,39
100,31
1000,52
1000,54
1000,43
1000,42
1000,41
1000,41
1000,37
1000,42
1000,42
1000,37
10000,49
10000,41
10000,48
10000,44
10000,43
10000,42
10000,48
10000,58
10000,44
10000,51
1,4
1,22
1,4
1,-1
1,-2
1,-1
1,2
1,7
1,3
1,4
10,4
10,12
10,3
10,15
10,10
10,19
10,1
10,2
10,0
10,8
100,37
100,35
100,38
100,39
100,44
100,22
100,29
100,23
100,29
100,28
1000,39
1000,44
1000,43
1000,44
1000,45
1000,42
1000,45
1000,41
1000,40
1000,46
10000,55
10000,51
10000,44
10000,56
10000,45
10000,44
10000,40
10000,42
10000,37
10000,54
1,26
1,-1
1,13
1,24
1,-6
1,13
1,6
1,8
1,3
1,-2
10,0
10,8
10,2
10,16
10,12
10,14
10,5
10,11
10,7
10,8
100,27
100,33
100,29
100,35
100,36
100,27
100,32
100,31
100,37
100,28
1000,39
1000,46
1000,40
1000,42
1000,41
1000,37
1000,44
1000,40
1000,44
1000,40
10000,42
10000,50
10000,36
10000,42
10000,39
10000,42
10000,45
10000,42
10000,43
10000,49
1,3
1,21
1,13
1,10
1,8
1,10
1,-5
1,13
1,14
1,0
10,6
10,1
10,3
10,6
10,11
10,3
10,9
10,5
10,0
10,4
100,35
100,33
100,31
100,27
100,23
100,31
100,35
100,35
100,37
100,27
1000,45
1000,45
1000,43
1000,40
1000,42
1000,42
1000,36
1000,45
1000,44
1000,40
10000,43
10000,41
10000,49
10000,45
10000,45
10000,55
10000,46
10000,48
10000,46
10000,38
1,3
1,18
1,3
1,7
1,-4
1,7
1,-3
1,-7
1,1
1,9
10,7
10,17
10,2
10,0
10,2
10,3
10,17
10,12
10,15
10,3
100,24
100,36
100,27
100,31
100,40
100,34
100,31
100,35
100,26
100,31
1000,42
1000,39
1000,46
1000,42
1000,34
1000,36
1000,32
1000,46
1000,41
1000,43
10000,44
10000,46
10000,47
10000,46
10000,47
10000,46
10000,44
10000,51
10000,58
10000,46
1,2
1,1
1,-2
1,19
1,8
1,4
1,7
1,5
1,7
1,-2
10,4
10,8
10,6
10,12
10,18
10,7
10,10
10,11
10,2
10,8
100,38
100,16
100,39
100,34
100,37
100,36
100,34
100,28
100,38
100,28
1000,39
1000,45
1000,45
1000,39
1000,45
1000,34
1000,39
1000,44
1000,48
1000,40
10000,42
10000,47
10000,40
10000,44
10000,40
10000,48
10000,49
10000,52
10000,44
10000,46
1,1
1,11
1,-5
1,20
1,9
1,7
1,4
1,1
1,7
1,0
10,2
10,7
10,0
10,4
10,4
10,8
10,7
10,5
10,8
10,8
100,31
100,33
100,38
100,32
100,36
100,39
100,31
100,35
100,33
100,22
1000,43
1000,50
1000,51
1000,39
1000,47
1000,52
1000,42
1000,42
1000,50
1000,50
10000,46
10000,50
10000,46
10000,46
10000,42
10000,44
10000,43
10000,47
10000,49
10000,42
1,3
1,5
1,8
1,29
1,6
1,-2
1,-2
1,8
1,-8
1,12
10,2
10,10
10,1
10,9
10,10
10,3
10,4
10,4
10,9
10,0
100,38
100,27
100,41
100,44
100,24
100,20
100,34
100,32
100,34
100,26
1000,47
1000,43
1000,51
1000,42
1000,46
1000,39
1000,43
1000,45
1000,39
1000,40
10000,50
10000,43
10000,44
10000,51
10000,43
10000,49
10000,47
10000,46
10000,42
10000,49
1,7
1,15
1,0
1,13
1,-4
1,16
1,12
1,7
1,8
1,12
10,2
10,6
10,8
10,1
10,4
10,7
10,20
10,5
10,9
10,1
100,19
100,34
100,35
100,21
100,36
100,26
100,23
100,32
100,38
100,25
1000,45
1000,42
1000,38
1000,33
1000,42
1000,49
1000,39
1000,42
1000,41
1000,36
10000,49
10000,49
10000,51
10000,46
10000,45
10000,35
10000,48
10000,44
10000,39
10000,34
1,3
1,6
1,14
1,14
1,17
1,8
1,0
1,-1
1,18
1,11
10,18
10,8
10,-9
10,1
10,8
10,6
10,2
10,3
10,10
10,2
100,34
100,38
100,31
100,32
100,29
100,39
100,42
100,28
100,38
100,30
1000,41
1000,34
1000,49
1000,39
1000,35
1000,45
1000,44
1000,44
1000,45
1000,53
10000,44
10000,56
10000,48
10000,42
10000,57
10000,48
10000,44
10000,49
10000,47
10000,42
1,3
1,-14
1,-5
1,-3
1,9
1,-4
1,-1
1,15
1,12
1,3
10,0
10,2
10,4
10,1
10,16
10,11
10,7
10,6
10,11
10,3
100,33
100,32
100,33
100,30
100,33
100,28
100,30
100,29
100,28
100,31
1000,32
1000,40
1000,43
1000,37
1000,40
1000,48
1000,42
1000,38
1000,43
1000,41
10000,54
10000,47
10000,42
10000,46
10000,46
10000,50
10000,48
10000,44
10000,46
10000,51
1,3
1,2
1,9
1,17
1,15
1,2
1,16
1,-1
1,18
1,-2
10,2
10,9
10,13
10,7
10,19
10,7
10,-10
10,8
10,6
10,8
100,32
100,35
100,41
100,30
100,36
100,29
100,29
100,24
100,34
100,37
1000,38
1000,42
1000,37
1000,40
1000,46
1000,42
1000,43
1000,38
1000,39
1000,42
10000,48
10000,50
10000,38
10000,48
10000,50
10000,44
10000,42
10000,52
10000,38
10000,44
1,-1
1,13
1,-11
1,1
1,9
1,11
1,9
1,1
1,-5
1,6
10,13
10,2
10,2
10,8
10,14
10,11
10,2
10,3
10,5
10,9
100,29
100,28
100,27
100,35
100,20
100,37
100,26
100,33
100,37
100,37
1000,47
1000,46
1000,47
1000,37
1000,38
1000,42
1000,42
1000,39
1000,30
1000,36
10000,41
10000,53
10000,53
10000,48
10000,49
10000,49
10000,45
10000,47
10000,47
10000,41
1,7
1,2
1,7
1,10
1,14
1,25
1,4
1,4
1,2
1,19
10,5
10,10
10,14
10,7
10,18
10,9
10,11
10,1
10,0
10,10
100,27
100,28
100,36
100,37
100,28
100,22
100,36
100,35
100,31
100,26
1000,47
1000,42
1000,49
1000,40
1000,43
1000,48
1000,47
1000,51
1000,49
1000,37
10000,44
10000,54
10000,48
10000,42
10000,49
10000,47
10000,43
10000,39
10000,48
10000,52
