iterations,score
100,37
100,32
100,41
100,28
100,41
100,25
100,45
100,32
100,43
100,39
1000,49
1000,41
1000,43
1000,45
1000,51
1000,43
1000,56
1000,44
1000,51
1000,48
100,31
100,38
100,30
100,36
100,39
100,42
100,40
100,44
100,37
100,24
1000,53
1000,49
1000,48
1000,45
1000,44
1000,47
1000,52
1000,48
1000,45
1000,47
100,28
100,31
100,34
100,42
100,39
100,35
100,29
100,37
100,33
100,34
1000,53
1000,44
1000,51
1000,39
1000,40
1000,42
1000,49
1000,50
1000,51
1000,53
100,29
100,29
100,38
100,29
100,36
100,24
100,34
100,30
100,35
100,32
1000,47
1000,44
1000,49
1000,56
1000,41
1000,40
1000,51
1000,47
1000,51
1000,52
100,31
100,40
100,38
100,43
100,31
100,36
100,37
100,40
100,30
100,34
1000,47
1000,50
1000,54
1000,49
1000,40
1000,46
1000,50
1000,43
1000,50
1000,50
100,33
100,33
100,34
100,36
100,44
100,25
100,39
100,40
100,40
100,35
1000,48
1000,48
1000,43
1000,53
1000,38
1000,43
1000,44
1000,43
1000,51
1000,46
100,42
100,37
100,39
100,35
100,33
100,43
100,33
100,34
100,18
100,35
1000,44
1000,46
1000,50
1000,55
1000,48
1000,51
1000,43
1000,42
1000,49
1000,50
100,37
100,17
100,34
100,31
100,39
100,42
100,29
100,27
100,44
100,25
1000,48
1000,58
1000,43
1000,49
1000,43
1000,47
1000,45
1000,53
1000,48
1000,56
100,32
100,33
100,40
100,32
100,34
100,38
100,36
100,35
100,32
100,35
1000,49
1000,44
1000,45
1000,51
1000,49
1000,54
1000,58
1000,44
1000,47
1000,45
100,31
100,20
100,36
100,36
100,30
100,29
100,28
100,36
100,20
100,29
1000,53
1000,47
1000,40
1000,47
1000,42
1000,37
1000,56
1000,43
1000,43
1000,48
100,34
100,27
100,32
100,38
100,33
100,27
100,34
100,28
100,35
100,34
1000,51
1000,46
1000,51
1000,57
1000,60
1000,52
1000,45
1000,43
1000,39
1000,53
100,39
100,20
100,34
100,33
100,32
100,30
100,35
100,31
100,34
100,44
1000,47
1000,44
1000,53
1000,46
1000,49
1000,48
1000,55
1000,48
1000,48
1000,53
100,28
100,34
100,34
100,30
100,34
100,38
100,36
100,35
100,42
100,29
1000,44
1000,56
1000,42
1000,50
1000,44
1000,58
1000,52
1000,45
1000,50
1000,43
100,24
100,24
100,33
100,44
100,36
100,39
100,32
100,26
100,37
100,36
1000,46
1000,54
1000,40
1000,51
1000,51
1000,52
1000,52
1000,45
1000,44
1000,47
100,38
100,43
100,34
100,44
100,41
100,42
100,38
100,27
100,31
100,43
1000,52
1000,49
1000,50
1000,44
1000,45
1000,45
1000,47
1000,51
1000,49
1000,46
100,24
100,32
100,40
100,37
100,32
100,38
100,39
100,36
100,40
100,30
1000,43
1000,46
1000,43
1000,54
1000,52
1000,42
1000,39
1000,39
1000,47
1000,45
100,27
100,39
100,39
100,43
100,27
100,28
100,35
100,32
100,43
100,22
1000,55
1000,48
1000,49
1000,48
1000,52
1000,50
1000,48
1000,54
1000,42
1000,45
100,36
100,36
100,23
100,37
100,33
100,38
100,36
100,40
100,39
100,24
1000,50
1000,55
1000,44
1000,48
1000,48
1000,53
1000,44
1000,50
1000,49
1000,53
100,33
100,40
100,30
100,30
100,35
100,35
100,48
100,38
100,27
100,33
1000,47
1000,45
1000,54
1000,51
1000,53
1000,56
1000,39
1000,48
1000,39
1000,47
100,40
100,46
100,36
100,33
100,38
100,29
100,25
100,37
100,37
100,25
1000,47
1000,45
1000,44
1000,43
1000,52
1000,52
1000,59
1000,52
1000,45
1000,46
100,34
100,32
100,28
100,36
100,21
100,34
100,23
100,34
100,38
100,33
1000,48
1000,46
1000,45
1000,48
1000,44
1000,48
1000,45
1000,51
1000,49
1000,44
100,39
100,33
100,41
100,42
100,26
100,36
100,39
100,25
100,39
100,44
1000,52
1000,50
1000,41
1000,49
1000,47
1000,46
1000,50
1000,46
1000,48
1000,52
100,41
100,42
100,21
100,33
100,34
100,26
100,35
100,38
100,28
100,36
1000,51
1000,37
1000,51
1000,45
1000,58
1000,50
1000,46
1000,52
1000,45
