iterations,score
1,-1
1,14
1,17
1,3
1,9
1,30
1,20
1,1
1,3
1,10
10,30
10,27
10,33
10,33
10,19
10,23
10,38
10,34
10,45
10,25
100,33
100,38
100,38
100,36
100,38
100,44
100,41
100,39
100,43
100,41
1000,45
1000,36
1000,40
1000,38
1000,37
1000,42
1000,41
1000,41
1000,40
1000,38
10000,45
10000,41
10000,43
10000,47
10000,42
10000,45
10000,38
10000,40
10000,39
10000,40
1,5
1,7
1,13
1,1
1,14
1,2
1,10
1,0
1,-3
1,2
10,35
10,12
10,39
10,41
10,15
10,31
10,39
10,36
10,33
10,40
100,44
100,35
100,40
100,43
100,42
100,40
100,40
100,33
100,39
100,31
1000,41
1000,38
1000,43
1000,39
1000,44
1000,40
1000,46
1000,38
1000,46
1000,45
10000,38
10000,39
10000,39
10000,37
10000,44
10000,40
10000,41
10000,38
10000,45
10000,40
1,-1
1,15
1,6
1,10
1,9
1,-2
1,6
1,-1
1,-5
1,0
10,14
10,22
10,28
10,9
10,18
10,41
10,20
10,24
10,40
10,27
100,37
100,37
100,38
100,40
100,38
100,43
100,36
100,35
100,41
100,34
1000,41
1000,40
1000,37
1000,37
1000,49
1000,41
1000,41
1000,37
1000,42
1000,38
10000,38
10000,42
10000,43
10000,40
10000,42
10000,40
10000,40
10000,41
10000,43
10000,43
1,12
1,10
1,5
1,5
1,10
1,7
1,6
1,29
1,-1
1,10
10,27
10,29
10,27
10,39
10,14
10,24
10,29
10,36
10,13
10,32
100,40
100,38
100,40
100,41
100,42
100,43
100,39
100,39
100,40
100,41
1000,41
1000,44
1000,39
1000,38
1000,46
1000,43
1000,44
1000,39
1000,42
1000,40
10000,41
10000,36
10000,40
10000,39
10000,43
10000,39
10000,42
10000,44
10000,40
10000,52
1,5
1,-10
1,3
1,3
1,11
1,7
1,0
1,4
1,16
1,7
10,43
10,23
10,40
10,24
10,36
10,36
10,22
10,32
10,19
10,23
100,42
100,37
100,43
100,42
100,46
100,38
100,49
100,41
100,38
100,40
1000,39
1000,39
1000,39
1000,46
1000,44
1000,45
1000,44
1000,42
1000,34
1000,44
10000,43
10000,40
10000,49
10000,39
10000,40
10000,40
10000,44
10000,37
10000,42
10000,47
1,8
1,1
1,19
1,2
1,0
1,14
1,6
1,0
1,12
1,1
10,30
10,39
10,35
10,39
10,10
10,43
10,42
10,38
10,31
10,24
100,38
100,34
100,41
100,36
100,40
100,42
100,42
100,42
100,36
100,40
1000,43
1000,41
1000,43
1000,44
1000,43
1000,41
1000,47
1000,47
1000,41
1000,49
10000,41
10000,37
10000,42
10000,51
10000,41
10000,44
10000,42
10000,39
10000,38
10000,45
1,7
1,1
1,5
1,3
1,14
1,16
1,1
1,4
1,-8
1,22
10,28
10,37
10,33
10,40
10,42
10,39
10,39
10,39
10,35
10,46
100,41
100,42
100,38
100,39
100,39
100,40
100,44
100,44
100,42
100,40
1000,43
1000,41
1000,41
1000,43
1000,45
1000,36
1000,42
1000,41
1000,46
1000,39
10000,40
10000,37
10000,41
10000,49
10000,41
10000,40
10000,44
10000,41
10000,40
10000,40
1,0
1,1
1,10
1,-1
1,6
1,19
1,6
1,11
1,14
1,-6
10,18
10,39
10,6
10,31
10,33
10,37
10,14
10,38
10,21
10,9
100,42
100,41
100,42
100,41
100,40
100,39
100,42
100,39
100,34
100,42
1000,39
1000,48
1000,39
1000,43
1000,39
1000,43
1000,45
1000,36
1000,44
1000,47
10000,41
10000,36
10000,43
10000,38
10000,41
10000,42
10000,41
10000,44
10000,39
10000,39
1,18
1,19
1,0
1,-1
1,15
1,15
1,1
1,-4
1,16
1,15
10,25
10,30
10,23
10,23
10,39
10,30
10,28
10,13
10,24
10,36
100,45
100,33
100,34
100,41
100,40
100,41
100,41
100,42
100,41
100,46
1000,40
1000,47
1000,38
1000,40
1000,44
1000,37
1000,40
1000,42
1000,41
1000,44
10000,41
10000,41
10000,38
10000,41
10000,50
10000,36
10000,41
10000,40
10000,42
10000,46
1,0
1,7
1,17
1,9
1,10
1,11
1,0
1,-4
1,14
1,20
10,32
10,37
10,35
10,40
10,36
10,23
10,27
10,31
10,31
10,36
100,39
100,41
100,37
100,45
100,34
100,37
100,41
100,42
100,38
100,40
1000,42
1000,39
1000,46
1000,39
1000,43
1000,44
1000,41
1000,42
1000,41
1000,47
10000,40
10000,35
10000,35
10000,46
10000,40
10000,43
10000,47
10000,41
10000,43
10000,44
