rave_jitter,score
0.0,18
0.1,29
2.0,43
2.2,45
2.5,32
4.8,34
5.0,31
5.2,41
6.0,41
10.0,37
100.0,35
0.0,35
0.1,36
2.0,31
2.2,39
2.5,37
4.8,40
5.0,46
5.2,46
6.0,42
10.0,41
100.0,38
0.0,42
0.1,38
2.0,31
2.2,31
2.5,28
4.8,39
5.0,41
5.2,43
6.0,39
10.0,35
100.0,35
0.0,35
0.1,40
2.0,44
2.2,34
2.5,30
4.8,33
5.0,45
5.2,33
6.0,40
10.0,33
100.0,29
0.0,41
0.1,34
2.0,28
2.2,50
2.5,35
4.8,40
5.0,40
5.2,39
6.0,43
10.0,30
100.0,35
0.0,35
0.1,30
2.0,37
2.2,35
2.5,39
4.8,40
5.0,32
5.2,37
6.0,43
10.0,41
100.0,46
0.0,43
0.1,27
2.0,29
2.2,40
2.5,34
4.8,47
5.0,45
5.2,40
6.0,35
10.0,39
100.0,44
0.0,32
0.1,36
2.0,40
2.2,40
2.5,37
4.8,44
5.0,29
5.2,45
6.0,30
10.0,34
100.0,30
0.0,39
0.1,38
2.0,44
2.2,45
2.5,26
4.8,44
5.0,41
5.2,37
6.0,42
10.0,36
100.0,35
0.0,45
0.1,32
2.0,35
2.2,44
2.5,39
4.8,36
5.0,39
5.2,35
6.0,38
10.0,45
100.0,42
0.0,32
0.1,45
2.0,40
2.2,33
2.5,44
4.8,40
5.0,43
5.2,41
6.0,39
10.0,41
100.0,42
0.0,35
0.1,38
2.0,34
2.2,38
2.5,44
4.8,39
5.0,42
5.2,30
6.0,29
10.0,37
100.0,32
0.0,38
0.1,30
2.0,41
2.2,35
2.5,36
4.8,38
5.0,45
5.2,40
6.0,34
10.0,31
100.0,33
0.0,37
0.1,43
2.0,43
2.2,35
2.5,34
4.8,44
5.0,31
5.2,38
6.0,42
10.0,41
100.0,39
0.0,42
0.1,29
2.0,28
2.2,38
2.5,25
4.8,38
5.0,40
5.2,38
6.0,29
10.0,36
100.0,41
0.0,40
0.1,42
2.0,41
2.2,43
2.5,34
4.8,41
5.0,42
5.2,33
6.0,47
10.0,36
100.0,43
0.0,40
0.1,43
2.0,41
2.2,43
2.5,36
4.8,34
5.0,39
5.2,34
6.0,46
10.0,41
100.0,37
0.0,39
0.1,37
2.0,30
2.2,41
2.5,38
4.8,36
5.0,31
5.2,32
6.0,40
10.0,50
100.0,40
0.0,47
0.1,43
2.0,45
2.2,43
2.5,45
4.8,41
5.0,42
5.2,35
6.0,41
10.0,37
100.0,42
0.0,46
0.1,44
2.0,36
2.2,42
2.5,40
4.8,38
5.0,39
5.2,38
6.0,39
10.0,34
100.0,35
0.0,41
0.1,25
2.0,41
2.2,38
2.5,35
4.8,38
5.0,30
5.2,41
6.0,37
10.0,36
100.0,50
0.0,45
0.1,36
2.0,37
2.2,41
2.5,47
4.8,36
5.0,43
5.2,35
6.0,41
10.0,40
100.0,37
0.0,40
0.1,39
2.0,41
2.2,48
2.5,29
4.8,33
5.0,43
5.2,43
6.0,36
10.0,34
100.0,33
0.0,40
0.1,40
2.0,27
2.2,29
2.5,44
4.8,36
5.0,37
5.2,37
6.0,37
10.0,36
100.0,34
0.0,34
0.1,33
2.0,42
2.2,35
2.5,36
4.8,39
5.0,38
5.2,31
6.0,41
10.0,42
100.0,33
0.0,35
0.1,45
2.0,38
2.2,39
2.5,37
4.8,37
5.0,43
5.2,40
6.0,28
10.0,33
100.0,34
0.0,41
0.1,45
2.0,47
2.2,41
2.5,44
4.8,36
5.0,39
5.2,44
6.0,31
10.0,34
100.0,34
0.0,34
0.1,38
2.0,34
2.2,46
2.5,35
4.8,33
5.0,27
5.2,33
6.0,36
10.0,41
100.0,32
0.0,44
0.1,38
2.0,34
2.2,39
2.5,44
4.8,47
5.0,43
5.2,40
6.0,37
10.0,45
100.0,39
0.0,41
0.1,37
2.0,40
2.2,38
2.5,33
4.8,39
5.0,42
5.2,39
6.0,44
10.0,40
100.0,47
0.0,37
0.1,38
2.0,43
2.2,47
2.5,37
4.8,39
5.0,36
5.2,39
6.0,44
10.0,39
100.0,35
0.0,42
0.1,34
2.0,28
2.2,37
2.5,36
4.8,40
5.0,34
5.2,46
6.0,38
10.0,39
100.0,31
0.0,43
0.1,26
2.0,38
2.2,32
2.5,36
4.8,33
5.0,35
5.2,46
6.0,35
10.0,31
100.0,37
0.0,40
0.1,40
2.0,37
2.2,36
2.5,37
4.8,40
5.0,35
5.2,30
6.0,46
10.0,35
100.0,45
0.0,41
0.1,41
2.0,38
2.2,36
2.5,27
4.8,36
5.0,35
5.2,44
6.0,34
10.0,40
100.0,38
0.0,45
0.1,34
2.0,33
2.2,27
2.5,37
4.8,35
5.0,36
5.2,41
