turn,move,visits,total
5,Place(2G097),3841,147647
5,Place(0B0A1),6999,265059
4,Place(0D0C0),1899542,67781946
4,Place(6B080),5862,207275
4,Place(3G071),19929,552789
3,Place(3D094),8,142
3,Place(1B061),71927,1923717
2,Place(1F080),9971,258790
3,Place(1D060),511837,12684663
6,Place(3E081),136906,4698402
3,Place(5G083),41477,1196693
6,Place(2D020),47547,1854302
5,Place(1B043),2177868,75128729
6,Place(4A050),95761,3641085
4,Place(3D083),5540,143098
5,Place(4E031),2638111,76511617
3,Place(1E0E0),5580,155496
6,Place(3A041),35686,1106601
4,Place(6E020),727,20125
2,Place(0B031),2206278,52004668
2,Place(2A023),233,5410
3,Place(2A021),278849,7120440
6,Place(4E031),5940040,185837906
6,Place(0E061),77642,2896863
4,Place(3D080),3163,90660
5,Place(3G093),158,5011
7,Place(5B097),1685,69687
4,Place(0C091),611,17830
4,Place(3G050),1601,43160
4,Place(4D0D0),89,2777
7,Place(1B040),597321,24783826
5,Place(4E043),34026,934251
6,Place(4D092),3161,110124
3,Place(4A081),464,12283
3,Place(2C094),130,3566
6,Place(5G040),18,605
7,Place(4F042),110595,4272895
6,Place(1B061),168513,6585743
2,Place(2F041),204222,5154722
6,Place(3D071),3169695,84430548
7,Place(5B0A3),2139,57113
3,Place(1E0F1),187928,4898761
2,Place(6A012),6569,157136
7,Place(0C097),9215,367054
3,Place(1D094),2820,80098
3,Place(2D013),345,9971
5,Place(4E061),3413234,91439098
4,Place(1B022),12333237,289787480
5,Place(5F081),134479,5082535
4,Place(6G0E3),935,27231
4,Place(6D083),1453894,47030642
6,Place(0E010),5649,186315
7,Place(2E022),136969,5785101
4,Place(6F093),73,1904
3,Place(3F0E0),62,1512
5,Place(3B0B0),45,1483
7,Roll,1062402418,36478652283
4,Place(2G071),4399,113949
4,Place(4A0B0),29,789
4,Place(5F0A3),16276,501297
7,Place(2A031),3435715,131176517
2,Place(5F090),1345,33833
2,Place(6F0F0),86802,1468236
3,Place(2D051),371,9332
2,Place(6D0B3),25430,461817
6,Place(5F020),367438,13047244
7,Place(0C023),11303,464858
6,Place(4A021),76186,3117871
2,Place(2E083),4,108
7,Place(2C011),230747,8703451
2,Place(0B030),341,7900
3,Place(3B021),6397,164896
6,Place(5B051),57849,2273587
6,Place(1C021),136249,5595425
4,Place(2D0D0),185,5445
3,Place(6F031),3131177,86798367
5,Place(3E040),14207,347783
4,Place(4B053),5513,161800
7,Place(3D091),25186,1098919
4,Place(1C060),5310234,138635926
5,Place(2C0B3),1,27
2,Place(0G043),2428,53502
3,Place(0D053),44820655,1210255662
4,Place(6G0E1),841,25562
3,Place(2A0A1),2651,64512
7,Place(5A097),2,66
7,Place(2B030),2976330,117015155
4,Place(3D050),858,24635
3,Place(3C093),723,16179
6,Place(4C010),2648,96237
4,Place(2A013),16974,530623
2,Place(3C080),12,208
3,Place(2E0B3),73,1738
3,Place(3G023),408332,11367351
2,Place(2E031),32666,689818
6,Place(6A083),510,18630
7,Place(5E096),616121,23576494
6,Place(3A031),3173,123824
4,Place(2B013),30869,975014
5,Place(2A0C0),212,7137
5,Place(5D096),2452,87977
4,Place(1A070),1384083,44795619
4,Place(2C0B1),733,20374
6,Place(4B080),4829,163118
5,Place(3E094),3782,131504
5,Place(5C020),342856,9210041
7,Place(0G041),510604,20024444
7,Place(5C081),71882,3136901
2,Place(5B011),1244,31951
7,Place(2F0B1),8,224
5,Place(5A090),27997,1004812
6,Place(0B070),1154243,47781307
6,Place(6C040),9223,367726
3,Place(5E094),10,245
5,Place(3G091),2828,91798
3,Place(0C061),6562,169495
3,Place(4F0A1),314,7675
3,Place(6F011),938143,25286815
4,Place(4A071),4993615,119020868
4,Place(5E0B0),1440,40971
6,Place(1A042),426,15571
7,Place(6C042),314863,13902856
3,Place(0B011),3954,99924
5,Place(2B021),67579,1913409
5,Place(4F022),97947,3709605
3,Place(6A052),16177,475449
7,Place(2C042),21055573,798066771
7,Place(5E060),5101355,177079786
4,Place(1E012),2190176,66593225
5,Place(0E022),61695,2182109
4,Place(1B031),1760667,51171875
5,Place(2C070),78636,2191364
5,Place(0D081),95436,3542024
5,Place(1C050),954789,37156606
5,Place(5E081),44029,1557930
5,Place(2A081),57065,2147303
2,Place(5B050),2266,58370
3,Place(0F070),8541271,254345920
3,Place(6G023),16422,477973
5,Place(1G020),580,12024
6,Place(1E090),4601,147839
6,Place(2G041),1627,43401
5,Place(1D0B2),15624,585914
6,Place(6D0A1),30,713
7,Place(1B021),16809,716684
5,Place(5C071),373219,10666744
2,Place(5C060),959,17219
4,Place(1D096),7855,232490
2,Place(1E031),320301,7000398
4,Place(1E0F0),18777,566514
6,Place(5D021),3546,130665
7,Place(6A050),572424,25682539
7,Place(2F050),36588,1402824
2,Place(1F051),9423,238955
5,Place(2F095),270,8662
6,Place(6D023),11420,374736
5,Place(6A0F1),12294,413576
5,Place(4B0D0),73,2403
5,Place(3D081),6809,238957
2,Place(5B070),322538,6594984
6,Place(1C092),1255,46309
3,Place(2G042),12004,323617
5,Place(4G0F0),17475,653576
6,Place(2E010),384533,11701269
5,Place(0C082),1380,47429
4,Place(4A042),686,20226
3,Place(1E097),143160,3935848
2,Place(6C043),35,685
3,Place(6A0B0),179,5155
3,Place(5C053),204,5049
3,Place(4C053),49,1334
4,Place(1F096),549,14140
2,Place(5F097),5,94
3,Place(1D030),5495307,137653077
2,Place(3E082),63347,1439078
3,Place(6C042),192907,5345036
7,Place(3E011),29480788,982166638
4,Place(3E0B1),2776,79823
3,Place(2D0A2),14,308
5,Place(3C0A2),4230,154621
5,Place(6B093),65,2119
6,Place(3F081),2506530,70951837
5,Place(1D071),456565,17088668
4,Place(6B0E3),1592,42661
7,Place(6C020),391612,17274016
7,Place(0A083),345748,15375832
4,Place(6C097),220,7359
5,Place(2B0A1),99,3324
5,Place(6E011),19760331,705894671
7,Place(2D093),670,24475
6,Place(6G090),105,3733
7,Place(5F030),2113734,89681886
5,Place(0F010),11,341
5,Place(3F070),41051,1436049
2,Place(0C0E1),10915,189672
3,Place(5E096),50636,1529807
5,Place(3C052),4268968,119920007
5,Place(3D090),209,7017
4,Place(2C013),1821,56615
7,Place(1G0A3),10,220
3,Place(1C096),77,1909
4,Place(3C0F1),239,6949
6,Place(0E013),29762,1003817
2,Place(5E081),20,511
5,Place(1A0C0),892,32172
7,Place(2E023),220185,9493627
6,Place(0B060),311312,11959980
4,Place(3C0A1),45,1264
4,Place(2F052),61164,1770917
5,Place(3G043),2736,77569
7,Place(4C050),520665,20621290
5,Place(1A012),663,21372
3,Place(1F0E2),279,6118
4,Place(3C093),4143,146871
5,Place(4E051),86423,2339490
4,Place(2A0A1),2317,68723
7,Place(2B093),55389,2329331
4,Place(6F082),2136,59683
3,Place(4G0A2),188,4080
5,Place(0B083),3382580,130609284
4,Place(0A011),42453,1249508
2,Place(5B030),177397,4037285
6,Place(3B043),450736,16455835
6,Place(6D097),20,658
4,Place(4B0B0),184,5178
5,Place(3D097),132185,3618698
2,Place(2G031),23677137,627371921
6,Place(0C012),27468,978588
5,Place(6D030),11686,387369
6,Place(1A040),227013,9665010
5,Place(4D031),117512,4047708
